Company,Rating,Location,Employee_Size,Industry,Review
DSM Infocom,4.1,Indore,1001 to 5000,Information Technology Support Services,83
OneHash,4.8,Indore,1 to 50,Information Technology Support Services,21
Relinns Technologies,4.7,Indore,51 to 200,Information Technology Support Services,96
I.T. Software Solutions,4.1,Indore,1 to 50,Computer Hardware Development,34
FiftyFive Technologies,4.6,Indore,51 to 200,Information Technology Support Services,44
iface,4.7,Indore,1 to 50,Information Technology Support Services,23
QSS Technosoft,4.0,Indore,201 to 500,Information Technology Support Services,182
InKnowTech,4.4,Indore,201 to 500,Information Technology Support Services,261
TheRapidHire,3.7,Indore,51 to 200,Software Development,14
Programmers.io,4.3,Indore,501 to 1000,Information Technology Support Services,102
Tekfortune,4.6,Indore,1 to 50,Information Technology Support Services,25
NITS,3.5,Indore,51 to 200,Information Technology Support Services,105
Adroit Associates Inc,4.1,Indore,51 to 200,Information Technology Support Services,26
Ipswitch,3.6,Indore,201 to 500,Enterprise Software & Network Solutions,120
Pragma,4.4,Indore,1001 to 5000,Software Development,173
Nectar Infotel Solutions,4.0,Indore,51 to 200,Information Technology Support Services,50
Outline Systems India,4.5,Indore,201 to 500,Information Technology Support Services,114
Trilogy Innovations,3.7,Indore,1 to 50,Computer Hardware Development,100
Valuebound,3.9,Indore,51 to 200,Information Technology Support Services,76
Mahindra First Choice Wheels,3.7,Indore,1001 to 5000,Internet & Web Services,187
AgroStar,4.1,Indore,1001 to 5000,Internet & Web Services,150
ShahSoftSol,3.9,Indore,1 to 50,Information Technology Support Services,15
InApp Information Technologies,4.6,Indore,201 to 500,Information Technology Support Services,117
